Datetime,Latitude,Longitude,T2M,QV2M,PS,WS10M,PRECTOT,CLRSKY_SFC_SW_DWN,hour,day,month,season,PRECTOTCORR,Predicted_T2M,Predicted_QV2M,Predicted_PS,Predicted_WS10M,Predicted_PRECTOT,Predicted_CLRSKY_SFC_SW_DWN
2024-07-25 23:00:00,16,103,98.38,18.61,0.0,5.1,24.45,0.11,23,25,7,3,24.45,0.6925356,0.5255052,0.50670415,0.52292454,0.49802673,0.0021312905
2024-07-25 23:00:00,16,104,98.61,18.88,0.0,4.78,24.6,0.91,23,25,7,3,24.6,0.6957143,0.52556723,0.5067698,0.5223435,0.49843997,0.0021365974
2024-07-25 23:00:00,16,105,98.41,19.28,0.0,3.9,24.73,2.73,23,25,7,3,24.73,0.69803,0.5256016,0.5065726,0.5221493,0.49897933,0.002139746
2024-07-25 23:00:00,16,106,95.86,18.36,0.0,2.35,23.82,2.35,23,25,7,3,23.82,0.7007986,0.5258173,0.5056182,0.52255017,0.49782333,0.0021393695
2024-07-25 23:00:00,16,107,91.09,16.54,0.0,3.08,21.6,1.12,23,25,7,3,21.6,0.7013329,0.5263074,0.5053775,0.52151984,0.49684247,0.0021315888
2024-07-25 23:00:00,16,108,98.21,18.25,0.0,4.19,27.07,0.25,23,25,7,3,27.07,0.7004409,0.526025,0.507668,0.52465016,0.49874845,0.0021338852
2024-07-25 23:00:00,16,109,0.0,30.16,99.89,5.58,21.02,0.09,23,25,7,3,21.02,0.50151634,0.51129943,0.5117219,0.76098824,0.49100024,0.0022745037
2024-07-25 23:00:00,16,110,99.93,0.0,30.51,6.53,23.74,0.69,23,25,7,3,23.74,0.4891319,0.5128688,0.4949918,0.5179632,0.66742885,0.0025239992
2024-07-25 23:00:00,16,111,99.96,9.33,23.64,0.0,30.34,2.42,23,25,7,3,30.34,0.5461846,0.53942394,0.53483605,0.50067645,0.48503163,0.002070912
2024-07-25 23:00:00,16,112,10.25,0.0,23.11,30.24,99.99,2.34,23,25,7,3,99.99,0.49287504,0.5053748,0.5264007,0.49446428,0.70179814,0.0024337152
2024-07-25 23:00:00,16,113,100.11,0.0,29.47,10.3,22.79,8.07,23,25,7,3,22.79,0.48821005,0.51266,0.49443063,0.5202997,0.6491904,0.0025130587
2024-07-25 23:00:00,16,114,100.14,0.0,29.25,10.61,22.36,8.3,23,25,7,3,22.36,0.48822054,0.5128668,0.49428648,0.5201575,0.6500919,0.0025134438
